Start_Date_Time,Start_Date_Time,Energy_kWh,Port_Type,ObjectID,SOC_Level,Battery_Capacity_kWh,Start_Time_Index,End_Time_Index,Charging_Time,Charging_Count,Time_Duration,Duration_Count
11/30/2023 5:30,11/30/2023 6:00,3.685,Level 2,77857,26.3,5,22,24,30,2,30,2
11/30/2023 6:00,11/30/2023 16:30,12.65,Level 2,77858,36.75,20,24,66,240,16,630,42
11/30/2023 6:30,11/30/2023 8:15,4.55,Level 2,77859,35,7,26,33,90,6,105,7
11/30/2023 6:45,11/30/2023 11:45,29.101,Level 2,77863,27.25,40,27,47,285,19,300,20
11/30/2023 7:45,11/30/2023 11:30,16.961,Level 2,77867,57.6,40,31,46,150,10,225,15
11/30/2023 8:00,11/30/2023 9:15,6.752,Level 2,77869,32.48,10,32,37,75,5,75,5
11/30/2023 8:15,11/30/2023 10:45,13.722,Level 2,77875,31.39,20,33,43,150,10,150,10
11/30/2023 8:15,11/30/2023 13:00,19.851,Level 2,77877,50.37,40,33,52,255,17,285,19
11/30/2023 8:30,11/30/2023 12:15,21.539,Level 2,77878,46.15,40,34,49,210,14,225,15
11/30/2023 8:45,11/30/2023 12:00,15.692,Level 2,77879,21.54,20,35,48,195,14,195,13
11/30/2023 8:45,11/30/2023 11:00,12.436,Level 2,77880,37.82,20,35,44,135,9,135,9
11/30/2023 9:00,11/30/2023 16:15,8.123,Level 2,77881,18.77,10,36,65,75,5,435,29
11/30/2023 9:00,11/30/2023 13:00,24.374,Level 2,77882,39.07,40,36,52,240,16,240,16
11/30/2023 9:30,11/30/2023 11:00,3.576,Level 2,77885,28.48,5,38,44,90,6,90,6
11/30/2023 9:45,11/30/2023 13:15,4.809,Level 2,77888,31.3,7,39,53,90,6,210,14
11/30/2023 10:15,11/30/2023 14:45,10.072,Level 2,77889,49.64,20,41,59,210,14,270,18
11/30/2023 10:45,11/30/2023 15:30,29.282,Level 2,77893,26.8,40,43,62,285,19,285,19
11/30/2023 11:15,11/30/2023 12:30,4.215,Level 2,77894,39.79,7,45,50,75,5,75,5
11/30/2023 11:15,11/30/2023 13:00,9.123,Level 2,77895,54.39,20,45,52,90,6,105,7
11/30/2023 11:45,11/30/2023 13:15,5.596,Level 2,77896,20.06,7,47,53,90,6,90,6
11/30/2023 12:00,11/30/2023 15:30,19.488,Level 2,77897,51.28,40,48,62,210,15,210,14
11/30/2023 12:15,11/30/2023 14:15,6.365,Level 2,77898,36.35,10,49,57,90,6,120,8
11/30/2023 12:15,11/30/2023 16:45,3.19,Level 2,77899,36.2,5,49,67,75,5,270,18
11/30/2023 13:45,11/30/2023 20:45,33.278,Level 2,77906,16.81,40,55,83,405,27,420,28
11/30/2023 14:00,11/30/2023 18:15,8.467,Level 2,77907,15.33,10,56,73,165,11,255,17
11/30/2023 14:15,11/30/2023 15:45,10.886,Level 2,77908,45.57,20,57,63,90,7,90,6
11/30/2023 14:45,11/30/2023 16:00,3.76,Level 2,77911,24.8,5,59,64,60,4,75,5
11/30/2023 14:45,11/30/2023 15:30,4.048,Level 2,77912,19.04,5,59,62,45,3,45,3
11/30/2023 15:00,11/30/2023 16:30,4.561,Level 2,77914,34.84,7,60,66,45,3,90,6
11/30/2023 15:00,11/30/2023 15:45,5.8,Level 2,77915,17.14,7,60,63,45,3,45,3
11/30/2023 15:30,11/30/2023 16:15,3.899,Level 2,77917,22.02,5,62,65,45,3,45,3
11/30/2023 16:00,11/30/2023 18:00,12.028,Level 2,77918,39.86,20,64,72,120,8,120,8
11/30/2023 16:00,11/30/2023 17:15,8.21,Level 2,77919,17.9,10,64,69,75,5,75,5
11/30/2023 16:15,11/30/2023 18:00,5.343,Level 2,77920,23.67,7,65,72,105,7,105,7
11/30/2023 16:30,11/30/2023 17:00,3.915,Level 2,77921,21.7,5,66,68,30,3,30,2
11/30/2023 16:45,11/30/2023 18:15,8.616,Level 2,77923,56.92,20,67,73,90,6,90,6
11/30/2023 16:45,11/30/2023 18:15,4.861,Level 2,77924,30.56,7,67,73,90,6,90,6
11/30/2023 17:15,11/30/2023 19:00,10.829,Level 2,77925,45.85,20,69,76,90,6,105,7
11/30/2023 17:30,11/30/2023 20:00,17.167,Level 2,77926,57.08,40,70,80,150,10,150,10
11/30/2023 18:00,11/30/2023 18:45,5.485,Level 2,77927,21.64,7,72,75,45,3,45,3
11/30/2023 18:00,11/30/2023 20:15,12.46,Level 2,77928,37.7,20,72,81,135,9,135,9
11/30/2023 18:45,11/30/2023 19:45,5.573,Level 2,77932,20.39,7,75,79,60,4,60,4
11/30/2023 19:00,11/30/2023 21:15,8.628,Level 2,77933,56.86,20,76,85,135,9,135,9
11/30/2023 19:00,11/30/2023 21:15,13.138,Level 2,77934,34.31,20,76,85,135,9,135,9
11/30/2023 19:15,11/30/2023 21:00,5.757,Level 2,77936,17.76,7,77,84,105,7,105,7
11/30/2023 20:00,11/30/2023 20:15,1.194,Level 2,77937,60.2,3,80,81,15,1,15,1
11/30/2023 20:00,11/30/2023 20:15,1.899,Level 2,77939,36.7,3,80,81,15,1,15,1
11/30/2023 21:00,11/30/2023 21:30,1.499,Level 2,77940,50.03,3,84,86,30,2,30,2
