Total_Energy,ID
7.48972931,1
9.130297647,5
12.95829043,9
12.95829043,13
12.95829043,17
12.95829043,21
15.47585797,25
21.8928779,29
23.77655803,33
20.36588913,37
32.47911306,41
24.49808769,45
58.58065624,49
60.75210184,53
50.87391807,57
46.65841817,61
46.19029946,65
48.48937629,69
52.87634473,73
40.84535722,77
26.30230228,81
14.92977891,85
10.53785147,89
11.1596354,93
1.379142505,97
0,101
0,105
0,109
0,113
0.749612181,117
10.78173648,121
18.7096612,125
39.2133184,129
65.80946897,133
62.53031324,137
48.62747996,141
42.18032083,145
35.42863313,149
24.89804583,153
28.71629308,157
29.23446688,161
39.71821798,165
39.05347444,169
27.45470577,173
11.1654417,177
8.731693677,181
8.731693677,185
8.731693677,189
8.731693677,193
8.731693677,197
8.116969539,201
3.267479117,205
3.267479117,209
4.504548083,213
16.05136776,217
32.73978421,221
62.37361133,225
81.89332777,229
65.03201174,233
62.63484811,237
62.4299476,241
60.7301332,245
61.41139951,249
53.15021192,253
45.31896489,257
58.05900187,261
38.20145039,265
31.2148836,269
29.78748867,273
17.02258966,277
10.01713593,281
4.953947794,285
3.206707248,289
3.206707248,293
3.206707248,297
1.369976596,301
0,305
0.399166427,309
8.224359385,313
27.8228653,317
34.94097866,321
53.3020655,325
71.50202187,329
69.20560146,333
64.55596498,337
54.89134666,341
40.99813319,345
31.41095016,349
37.98920964,353
55.23580208,357
66.24840463,361
57.79860462,365
49.03461577,369
27.70696943,373
12.79199653,377
10.67675178,381
7.669894086,385
6.036037582,389
2.487617949,393
0.973626025,397
0,401
0,405
11.57705403,409
19.40860758,413
45.47876331,417
89.20311557,421
89.65947352,425
85.69715699,429
77.20722253,433
50.40402861,437
42.03857822,441
34.1231474,445
38.14664193,449
48.43245645,453
28.71239416,457
32.06952975,461
29.58881649,465
28.76019836,469
23.28570122,473
17.51428355,477
10.4049224,481
8.096771087,485
0.948696462,489
0.948696462,493
0.948696462,497
2.732339994,501
15.65295416,505
37.08932196,509
53.85245553,513
71.82003277,517
73.30379937,521
73.04503903,525
67.64800962,529
66.4579177,533
59.62993988,537
56.32553717,541
45.27198174,545
41.61469922,549
40.5572857,553
35.73699481,557
27.99985222,561
10.26992082,565
5.397848048,569
5.397848048,573
5.397848048,577
5.397848048,581
3.925435053,585
0,589
0,593
2.27864518,597
10.89892246,601
24.23137487,605
40.56735008,609
54.67144307,613
63.88474768,617
65.8313475,621
57.66921317,625
41.45094693,629
39.82328103,633
30.92756379,637
33.74916855,641
47.11154081,645
36.79418666,649
18.77315686,653
24.39308572,657
24.70028929,661
12.8791693,665
14.9927216,669
10.76196663,673
9.331593064,677
9.331593064,681
9.331593064,685
9.331593064,689
5.796036284,693
9.798532209,697
23.10460596,701
34.28091878,705
67.76169308,709
66.69338487,713
72.3258442,717
61.71969434,721
46.52809733,725
61.39437979,729
60.28462143,733
36.69355676,737
40.72070258,741
40.59266418,745
23.10474598,749
10.37464564,753
5.691735792,757
7.504737197,761
5.384736495,765
5.384736495,769
5.384736495,773
5.384736495,777
5.384736495,781
5.384736495,785
6.758687675,789
15.22104706,793
39.72820582,797
60.3859806,801
53.0655429,805
49.44756598,809
69.32119648,813
75.44579221,817
71.03719342,821
37.545043,825
41.49655852,829
49.62520376,833
43.42705028,837
45.4157392,841
46.9248613,845
29.50736004,849
10.39416776,853
10.27345287,857
7.298131325,861
6.219860833,865
7.956916335,869
7.956916335,873
5.713908952,877
1.344760359,881
0.791591197,885
8.893597542,889
43.96255108,893
53.43681939,897
73.12507415,901
81.83546304,905
74.30254396,909
63.75202622,913
60.95050559,917
56.50792447,921
53.62180886,925
39.52447623,929
43.27069829,933
31.51100106,937
23.74939272,941
21.17622354,945
17.05841989,949
11.4371306,953
7.804150302,957
5.00988453,961
3.166364788,965
3.166364788,969
3.166364788,973
3.166364788,977
1.860906952,981
23.34734865,985
45.47165126,989
62.6905176,993
79.64119356,997
78.80881999,1001
76.40317302,1005
56.67848969,1009
46.55748598,1013
25.65534497,1017
32.76675504,1021
40.05987545,1025
34.06866152,1029
22.07352105,1033
18.15246298,1037
15.03823781,1041
6.791922903,1045
2.054609892,1049
0,1053
0,1057
0,1061
0,1065
0,1069
0,1073
0,1077
6.250540929,1081
18.11905837,1085
35.4809808,1089
78.59719103,1093
89.53356805,1097
85.03764689,1101
69.3230879,1105
59.55898128,1109
49.0505399,1113
43.27999008,1117
49.79525232,1121
54.47464681,1125
59.33110306,1129
31.16130887,1133
24.28578498,1137
14.87737799,1141
5.589372263,1145
5.589372263,1149
5.589372263,1153
5.589372263,1157
5.589372263,1161
5.589372263,1165
0.279468613,1169
1.040459532,1173
11.45167033,1177
26.91571167,1181
54.90792918,1185
69.06714087,1189
78.15053792,1193
63.60412864,1197
58.23982456,1201
58.27272001,1205
64.5701458,1209
38.50305806,1213
51.85159786,1217
62.87706475,1221
70.0351413,1225
56.84430255,1229
40.81850577,1233
41.4063212,1237
26.60160242,1241
21.27491083,1245
12.20398822,1249
4.948199668,1253
4.948199668,1257
4.948199668,1261
4.948199668,1265
4.948199668,1269
4.948199668,1273
11.73735165,1277
21.17096996,1281
62.6851377,1285
57.36675091,1289
40.73839329,1293
37.02557197,1297
36.7911285,1301
57.88700162,1305
60.97525883,1309
23.8189654,1313
46.70901244,1317
38.37345569,1321
27.7472981,1325
24.04670473,1329
19.41610905,1333
10.78489851,1337
10.78489851,1341
10.78489851,1345
7.792366921,1349
6.055700212,1353
6.055700212,1357
5.916082679,1361
0,1365
6.282126864,1369
24.90617544,1373
23.51204425,1377
32.94908795,1381
47.98222555,1385
49.91063931,1389
63.196181,1393
48.79135808,1397
36.90023774,1401
64.17799089,1405
58.10714247,1409
50.68085558,1413
29.61669074,1417
20.98623937,1421
18.16128944,1425
17.47129626,1429
16.01801822,1433
14.83828119,1437
13.66318704,1441
10.60955259,1445
5.06920387,1449
5.06920387,1453
5.06920387,1457
6.205140125,1461
11.47919133,1465
25.45910523,1469
39.63293438,1473
59.47880818,1477
75.56629482,1481
72.34383906,1485
65.32719252,1489
53.53473151,1493
32.78436534,1497
23.17994476,1501
35.73360541,1505
52.4824491,1509
52.29508696,1513
40.07082402,1517
25.25682307,1521
16.9779907,1525
8.971462372,1529
11.72980886,1533
8.561619956,1537
2.77907129,1541
5.907416625,1545
5.907416625,1549
5.907416625,1553
7.630356539,1557
19.7631211,1561
33.90948185,1565
71.39782213,1569
107.2343167,1573
106.5155642,1577
100.2337872,1581
89.01671063,1585
90.87525101,1589
77.6895982,1593
50.62135625,1597
46.05287242,1601
62.44195391,1605
69.39913928,1609
60.05247934,1613
27.00156934,1617
9.067483396,1621
8.614297377,1625
2.930902566,1629
2.930902566,1633
2.930902566,1637
2.930902566,1641
2.930902566,1645
2.930902566,1649
9.296714909,1653
27.27681703,1657
52.08374836,1661
66.9779229,1665
83.32383731,1669
80.54894081,1673
75.8479795,1677
66.22881528,1681
65.77521681,1685
61.52868882,1689
35.38445023,1693
39.17779425,1697
43.79351344,1701
34.94858709,1705
24.88019431,1709
30.24460385,1713
24.50190291,1717
12.83619978,1721
6.23053404,1725
6.23053404,1729
6.23053404,1733
6.23053404,1737
1.10072768,1741
0,1745
2.980644985,1749
24.27020739,1753
45.02572811,1757
55.90818859,1761
68.10490997,1765
65.81531659,1769
69.67436833,1773
64.92891368,1777
76.06664586,1781
51.34976249,1785
39.56321132,1789
48.98923442,1793
54.97239313,1797
56.40514635,1801
64.91797294,1805
49.47005223,1809
23.99817635,1813
20.78332179,1817
12.49392503,1821
12.49392503,1825
17.39516772,1829
18.04250166,1833
18.04250166,1837
12.16648636,1841
10.16701307,1845
15.69341989,1849
30.16884811,1853
38.71755893,1857
61.56269743,1861
83.42770575,1865
68.920631,1869
86.98946396,1873
77.50818779,1877
57.36416195,1881
51.55261215,1885
48.92366633,1889
50.82993724,1893
37.11148619,1897
36.5085265,1901
13.50181264,1905
9.934393153,1909
9.517619713,1913
0,1917
0,1921
0,1925
0,1929
0,1933
0,1937
1.54439562,1941
12.76835496,1945
29.59692023,1949
36.80693114,1953
52.26037411,1957
50.5362314,1961
38.41226114,1965
39.55513907,1969
58.47955085,1973
57.83238548,1977
43.7348763,1981
32.52346379,1985
35.967314,1989
43.17353428,1993
40.75572969,1997
33.0485537,2001
19.55375276,2005
17.90139781,2009
14.50310593,2013
7.287788831,2017
5.429687353,2021
5.429687353,2025
5.429687353,2029
5.429687353,2033
5.429687353,2037
1.135709605,2041
14.83690049,2045
25.96277367,2049
43.65473917,2053
34.70870619,2057
44.29095945,2061
37.3815968,2065
38.14095039,2069
41.35946878,2073
36.75818044,2077
38.96811977,2081
47.52412966,2085
37.01121587,2089
23.28314618,2093
6.685309591,2097
6.34143754,2101
0.32665288,2105
0,2109
0,2113
0,2117
0,2121
0,2125
2.110072993,2129
4.940098178,2133
10.03436654,2137
30.41437003,2141
54.42298375,2145
76.77291753,2149
72.35112221,2153
86.06222482,2157
63.3869568,2161
56.08357224,2165
41.62869408,2169
31.05519048,2173
42.92524088,2177
30.08887666,2181
47.9539596,2185
28.52402552,2189
11.3204752,2193
3.674171313,2197
0,2201
0,2205
0,2209
0,2213
0,2217
0,2221
0,2225
0,2229
7.779581313,2233
30.41380349,2237
46.145405,2241
64.49513861,2245
81.91803655,2249
66.82885319,2253
47.97659871,2257
49.83060576,2261
49.19217624,2265
48.69947104,2269
65.4484719,2273
66.61831839,2277
55.81480455,2281
28.51222872,2285
16.92344471,2289
13.42800003,2293
11.94210778,2297
7.345754912,2301
5.942533628,2305
3.101625465,2309
3.101625465,2313
3.101625465,2317
3.101625465,2321
3.536007951,2325
8.619625521,2329
27.22861938,2333
37.69926113,2337
58.94555571,2341
57.16134239,2345
55.81072707,2349
55.64291919,2353
58.18340752,2357
55.79617769,2361
47.48595664,2365
59.93452481,2369
66.56983369,2373
38.5442126,2377
28.46133795,2381
31.31140576,2385
10.80929918,2389
6.35066439,2393
6.35066439,2397
6.35066439,2401
6.35066439,2405
4.220670767,2409
3.016761329,2413
3.016761329,2417
5.399445892,2421
16.30863804,2425
44.3782396,2429
37.94120538,2433
66.90687162,2437
99.6557205,2441
70.53512073,2445
56.84152916,2449
59.78025806,2453
50.01524911,2457
48.12616181,2461
40.40317294,2465
38.60272418,2469
44.31361721,2473
39.94005951,2477
16.53154708,2481
9.38352197,2485
8.650103582,2489
8.650103582,2493
8.650103582,2497
8.650103582,2501
8.650103582,2505
8.650103582,2509
8.650103582,2513
5.219630221,2517
23.53059833,2521
15.69862856,2525
41.72468467,2529
63.15575482,2533
77.08713769,2537
90.76958852,2541
87.70181459,2545
69.40225948,2549
61.27422795,2553
49.04721938,2557
53.56893761,2561
44.63977719,2565
39.13495134,2569
32.59895142,2573
29.52494896,2577
19.23990604,2581
18.24893498,2585
15.25337991,2589
17.24843609,2593
14.66946151,2597
11.25526996,2601
6.0741717,2605
4.426697309,2609
2.602247191,2613
2.602247191,2617
7.683544545,2621
21.99255159,2625
51.39700866,2629
49.31731209,2633
58.1535658,2637
48.21075424,2641
30.94331834,2645
24.5606617,2649
36.69172583,2653
35.14954351,2657
35.62499444,2661
39.48583211,2665
35.85104782,2669
28.40589662,2673
14.45589161,2677
6.093321134,2681
6.093321134,2685
3.37737097,2689
0,2693
1.96358885,2697
2.45641115,2701
0,2705
0,2709
0,2713
0,2717
1.836258348,2721
13.13942711,2725
24.13619462,2729
23.98200304,2733
22.96753535,2737
15.80420047,2741
16.64675307,2745
13.91632851,2749
22.29451466,2753
29.81486143,2757
17.47505074,2761
10.81125176,2765
5.132862984,2769
0.307724487,2773
0,2777
0,2781
0,2785
0,2789
0,2793
0,2797
0,2801
0.741049259,2805
4.992012179,2809
23.93557866,2813
40.95371825,2817
52.87271175,2821
56.41019045,2825
69.47063778,2829
55.09033164,2833
48.69569098,2837
44.06539916,2841
37.26764626,2845
34.36172308,2849
61.99724353,2853
32.53828638,2857
34.05568742,2861
30.91081589,2865
17.67215381,2869
14.21969853,2873
14.21969853,2877
13.93291591,2881
8.45706229,2885
3.217514556,2889
3.217514556,2893
6.640245011,2897
3.217514556,2901
7.213995901,2905
18.83553589,2909
30.64912855,2913
72.71989961,2917
54.63196545,2921
48.28295864,2925
57.13854824,2929
60.33982803,2933
59.31532778,2937
32.2629018,2941
36.50541672,2945
45.95456586,2949
47.79391981,2953
56.34461632,2957
24.08079941,2961
22.00291378,2965
15.89374181,2969
11.77702394,2973
8.137254907,2977
6.170906293,2981
6.170906293,2985
5.819507463,2989
0,2993
0.758723705,2997
10.04888035,3001
36.10306556,3005
63.80576937,3009
89.65029176,3013
73.32624672,3017
77.1631679,3021
66.82706937,3025
56.93494115,3029
77.961318,3033
68.6957999,3037
40.7234544,3041
